index,roi_name,hemisphere,region_full_name,functional_system,sub_system
0,L_V1_ROI,Left,Primary Visual Cortex (V1),Visual,EarlyRetinotopic
1,L_MST_ROI,Left,Medial Superior Temporal Area (MST),Visual,Dorsal
2,L_V6_ROI,Left,Visual Area 6 (V6),Visual,Dorsal
3,L_V2_ROI,Left,Secondary Visual Cortex (V2),Visual,EarlyRetinotopic
4,L_V3_ROI,Left,Visual Area 3 (V3),Visual,EarlyRetinotopic
5,L_V4_ROI,Left,Visual Area 4 (V4),Visual,Ventral
6,L_V8_ROI,Left,Visual Area 8 (V8),Visual,Ventral
7,L_4_ROI,Left,Primary Motor Cortex (Area 4),Motor,Primary
8,L_3b_ROI,Left,Primary Somatosensory Cortex (Area 3b),Somatosensory,Primary
9,L_FEF_ROI,Left,Frontal Eye Field,DorsalAttention,Frontal
10,L_PEF_ROI,Left,Parietal Eye Field,DorsalAttention,Parietal
11,L_55b_ROI,Left,Premotor Area 55b,Motor,Premotor
12,L_V3A_ROI,Left,Visual Area 3A (V3A),Visual,Dorsal
13,L_RSC_ROI,Left,Retrosplenial Complex,DefaultMode,Retrosplenial
14,L_POS2_ROI,Left,Parieto-Occipital Sulcus Area 2,Visual,Dorsal
15,L_V7_ROI,Left,Visual Area 7 (V7),Visual,Dorsal
16,L_IPS1_ROI,Left,Intraparietal Sulcus Area 1,DorsalAttention,Parietal
17,L_FFC_ROI,Left,Fusiform Face Complex,Visual,Ventral
18,L_V3B_ROI,Left,Visual Area 3B (V3B),Visual,Dorsal
19,L_LO1_ROI,Left,Lateral Occipital Area 1 (LO1),Visual,Lateral
20,L_LO2_ROI,Left,Lateral Occipital Area 2 (LO2),Visual,Lateral
21,L_PIT_ROI,Left,Posterior Inferotemporal Complex,Visual,Ventral
22,L_MT_ROI,Left,Middle Temporal Area (V5/MT),Visual,Dorsal
23,L_A1_ROI,Left,Primary Auditory Cortex,Auditory,Core
24,L_PSL_ROI,Left,Perisylvian Language Area,Language,Perisylvian
25,L_SFL_ROI,Left,Superior Frontal Language Area,Frontoparietal,Language
26,L_PCV_ROI,Left,Precuneus Visual Area,DefaultMode,Precuneus
27,L_STV_ROI,Left,Superior Temporal Visual Area,VentralAttention,Temporal
28,L_7Pm_ROI,Left,Medial Area 7P,DorsalAttention,Parietal
29,L_Precuneus_ROI,Left,Precuneus,DefaultMode,Precuneus
30,L_POS1_ROI,Left,Parieto-Occipital Sulcus Area 1,Visual,Dorsal
31,L_23d_ROI,Left,Dorsal Posterior Cingulate Area 23,DefaultMode,PosteriorCingulate
32,L_v23ab_ROI,Left,Ventral Posterior Cingulate Area 23ab,DefaultMode,PosteriorCingulate
33,L_d23ab_ROI,Left,Dorsal Posterior Cingulate Area 23ab,DefaultMode,PosteriorCingulate
34,L_31pv_ROI,Left,Ventral Posterior Cingulate Area 31,DefaultMode,PosteriorCingulate
35,L_5m_ROI,Left,Medial Area 5 (Superior Parietal Lobule),Somatosensory,Association
36,L_5mv_ROI,Left,Medioventral Area 5 (Superior Parietal Lobule),Somatosensory,Association
37,L_23c_ROI,Left,Central Posterior Cingulate Area 23,DefaultMode,PosteriorCingulate
38,L_5L_ROI,Left,Lateral Area 5 (Superior Parietal Lobule),Somatosensory,Association
39,L_24dd_ROI,Left,Dorsal Anterior Cingulate Area 24d,CinguloOpercular,AnteriorCingulate
40,L_24dv_ROI,Left,Ventral Anterior Cingulate Area 24d,CinguloOpercular,AnteriorCingulate
41,L_7AL_ROI,Left,Anterolateral Area 7A,DorsalAttention,Parietal
42,L_SCEF_ROI,Left,Supplementary and Cingulate Eye Field,Motor,Eye
43,L_6ma_ROI,Left,Medial Anterior Supplementary Motor Area 6 (SMA),Motor,Supplementary
44,L_7Am_ROI,Left,Anteromedial Area 7A,DorsalAttention,Parietal
45,L_7PL_ROI,Left,Posterolateral Area 7P,DorsalAttention,Parietal
46,L_7PC_ROI,Left,Superior Parietal Area 7PC,DorsalAttention,Parietal
47,L_LIPv_ROI,Left,Ventral Lateral Intraparietal Area,DorsalAttention,Parietal
48,L_VIP_ROI,Left,Ventral Intraparietal Area,DorsalAttention,Parietal
49,L_MIP_ROI,Left,Medial Intraparietal Area,DorsalAttention,Parietal
50,L_1_ROI,Left,Primary Somatosensory Cortex (Area 1),Somatosensory,Primary
51,L_2_ROI,Left,Primary Somatosensory Cortex (Area 2),Somatosensory,Primary
52,L_3a_ROI,Left,Primary Somatosensory Cortex (Area 3a),Somatosensory,Primary
53,L_6d_ROI,Left,Dorsal Premotor Area 6d,Motor,Premotor
54,L_6mp_ROI,Left,Medial Posterior Supplementary Motor Area 6 (pre-SMA),Motor,Supplementary
55,L_6v_ROI,Left,Ventral Premotor Area 6v,Motor,Premotor
56,L_p24pr_ROI,Left,Posterior Pregenual Cingulate Area 24,CinguloOpercular,MidCingulate
57,L_33pr_ROI,Left,Pregenual Cingulate Area 33,CinguloOpercular,AnteriorCingulate
58,L_a24pr_ROI,Left,Anterior Pregenual Cingulate Area 24,CinguloOpercular,AnteriorCingulate
59,L_p32pr_ROI,Left,Posterior Pregenual Cingulate Area 32,CinguloOpercular,AnteriorCingulate
60,L_a24_ROI,Left,Anterior Cingulate Area 24,CinguloOpercular,AnteriorCingulate
61,L_d32_ROI,Left,Dorsal Anterior Cingulate Area 32,CinguloOpercular,AnteriorCingulate
62,L_8BM_ROI,Left,Medial Prefrontal Area 8B,DefaultMode,Prefrontal
63,L_p32_ROI,Left,Posterior Anterior Cingulate Area 32,CinguloOpercular,AnteriorCingulate
64,L_10r_ROI,Left,Rostral Frontopolar Area 10,DefaultMode,Prefrontal
65,L_47m_ROI,Left,Medial Orbitofrontal Area 47,Limbic,Orbitofrontal
66,L_8Av_ROI,Left,Ventral Prefrontal Area 8A,DefaultMode,Prefrontal
67,L_8Ad_ROI,Left,Dorsal Prefrontal Area 8A,DefaultMode,Prefrontal
68,L_9m_ROI,Left,Medial Prefrontal Area 9,DefaultMode,Prefrontal
69,L_8BL_ROI,Left,Lateral Prefrontal Area 8B,DefaultMode,Prefrontal
70,L_9p_ROI,Left,Posterior Prefrontal Area 9,DefaultMode,Prefrontal
71,L_10d_ROI,Left,Dorsal Frontopolar Area 10,DefaultMode,Prefrontal
72,L_8C_ROI,Left,Prefrontal Area 8C,DefaultMode,Prefrontal
73,L_44_ROI,Left,Inferior Frontal Pars Opercularis (Broca's Area),Language,Broca
74,L_45_ROI,Left,Inferior Frontal Pars Triangularis (Broca's Area),Language,Broca
75,L_47l_ROI,Left,Lateral Orbitofrontal Area 47,Limbic,Orbitofrontal
76,L_a47r_ROI,Left,Rostral Orbitofrontal Area 47,Limbic,Orbitofrontal
77,L_6r_ROI,Left,Rostral Premotor Area 6r,Motor,Premotor
78,L_IFJa_ROI,Left,Anterior Inferior Frontal Junction,Frontoparietal,IFJ
79,L_IFJp_ROI,Left,Posterior Inferior Frontal Junction,Frontoparietal,IFJ
80,L_IFSp_ROI,Left,Posterior Inferior Frontal Sulcus,Frontoparietal,IFS
81,L_IFSa_ROI,Left,Anterior Inferior Frontal Sulcus,Frontoparietal,IFS
82,L_p9-46v_ROI,Left,Posterior Ventral Prefrontal Area 9-46,Frontoparietal,VLPFC
83,L_46_ROI,Left,Dorsolateral Prefrontal Area 46,Frontoparietal,DLPFC
84,L_a9-46v_ROI,Left,Anterior Ventral Prefrontal Area 9-46,Frontoparietal,VLPFC
85,L_9-46d_ROI,Left,Dorsal Prefrontal Area 9-46,Frontoparietal,DLPFC
86,L_9a_ROI,Left,Anterior Prefrontal Area 9,DefaultMode,Prefrontal
87,L_10v_ROI,Left,Ventral Frontopolar Area 10,DefaultMode,Prefrontal
88,L_a10p_ROI,Left,Anterior Polar Area 10,DefaultMode,Prefrontal
89,L_10pp_ROI,Left,Polar Prefrontal Area 10,DefaultMode,Prefrontal
90,L_11l_ROI,Left,Lateral Orbitofrontal Area 11,Limbic,Orbitofrontal
91,L_13l_ROI,Left,Lateral Orbitofrontal Area 13,Limbic,Orbitofrontal
